Mese,gtrends_inflation,gtrends_deflation,gtrends_index(1-0),aspettative_istat,inflation,std_gtrends_inflation,std_gtrend_index(1-0),MA(4)_inflation,ma(4)_std_gtrends_index(1-0),delta_gtrends_index,std_delta_gtrends_index,ma(4)_std_delta_gtrends_index,ma(4)_aspettative,infl,ma(4)_std_delta_gtrends_index
lug-16,10,3,10,-1.928313595,0.20020020020019,-1.20557839,-1.20557839,0.12537663306614,-0.626575964,-4,-0.311784162,-0.22645376,-1.432283423,0.124900748,-0.22645376
ago-16,10,3,10,-1.433730671,0.19980019980020,-1.20557839,-1.20557839,0.20042708462261,-0.906094376,0,0.029537447,-0.269118961,-1.251041222,0.249279352,-0.269118961
set-16,11,3,11,-0.437397455,-0.19940179461615,-1.125715986,-1.125715986,0.07519975154646,-1.105750385,1,0.114867849,-0.183788559,-1.172142148,0.274279352,-0.183788559
ott-16,15,2,15,-1.625958954,-0.09990009990009,-0.806266372,-0.806266372,0.02517462637104,-1.085784785,4,0.370859056,0.050870048,-1.356350169,0.273189152,0.050870048
nov-16,17,4,17,-1.787450729,-0.09999999999999,-0.646541564,-0.646541564,-0.04987542367901,-0.946025578,2,0.200198252,0.178865651,-1.321134452,0.149103815,0.178865651
dic-16,17,3,17,-2.488706055,0.40040040040039,-0.646541564,-0.646541564,0.00027462647104,-0.806266372,0,0.029537447,0.178865651,-1.584878298,0.024996679,0.178865651
gen-17,20,27,20,-0.715632958,0.29910269192422,-0.406954354,-0.406954354,0.12490074810613,-0.626575964,3,0.285528654,0.221530852,-1.654437174,0.049724671,0.221530852
feb-17,22,6,22,-0.77313181,0.39761431411531,-0.247229546,-0.247229546,0.24927935160998,-0.486816757,2,0.200198252,0.178865651,-1.441230388,0.024825442,0.178865651
mar-17,21,2,21,-0.447203975,0.00000000000000,-0.32709195,-0.32709195,0.27427935160998,-0.406954354,-1,-0.055792955,0.114867849,-1.106168699,0.000243481,0.114867849
apr-17,19,3,19,-1.309400878,0.39603960396040,-0.486816757,-0.486816757,0.27318915249999,-0.367023152,-2,-0.141123358,0.072202648,-0.811342405,-0.024460076,0.072202648
mag-17,23,4,23,-0.79279519,-0.19723865877712,-0.167367143,-0.167367143,0.14910381482465,-0.307126349,4,0.370859056,0.093535249,-0.830632963,-0.098693019,0.093535249
giu-17,18,2,18,0.222506125,-0.09881422924902,-0.566679161,-0.566679161,0.02499667898356,-0.386988753,-5,-0.397114565,-0.055792955,-0.58172348,-0.073597342,-0.055792955
lug-17,14,2,14,-0.765592208,0.09891196834818,-0.886128775,-0.886128775,0.04972467107061,-0.526747959,-4,-0.311784162,-0.119790757,-0.661320538,0.074404956,-0.119790757
ago-17,10,1,10,-0.38247395,0.29644268774703,-1.20557839,-1.20557839,0.02482544201727,-0.706438367,-4,-0.311784162,-0.162455958,-0.429588806,0.123812071,-0.162455958
set-17,14,2,14,0.078301743,-0.29556650246305,-0.886128775,-0.886128775,0.00024348109578,-0.886128775,4,0.370859056,-0.162455958,-0.211814572,0.247208647,-0.162455958
ott-17,19,1,19,0.386013433,-0.19762845849803,-0.486816757,-0.486816757,-0.02446007621647,-0.866163175,5,0.456189459,0.050870048,-0.170937745,0.172560254,0.050870048
nov-17,18,2,18,-0.00207792,-0.19801980198020,-0.566679161,-0.566679161,-0.09869301879856,-0.786300771,-1,-0.055792955,0.114867849,0.019940827,0.172051153,0.114867849
dic-17,15,3,15,-0.558268751,0.39682539682540,-0.806266372,-0.806266372,-0.07359734152897,-0.686472766,-3,-0.22645376,0.13620045,-0.024007874,0.220974832,0.13620045
gen-18,24,1,24,2.207897071,0.29644268774703,-0.087504739,-0.087504739,0.07440495602355,-0.486816757,9,0.797511068,0.242863453,0.508390958,0.220325394,0.242863453
feb-18,18,3,18,0.429896794,0.00000000000000,-0.566679161,-0.566679161,0.12381207064806,-0.506782358,-6,-0.482444967,0.008204846,0.519361799,0.29313842,0.008204846
mar-18,20,2,20,-0.441449467,0.29556650246305,-0.406954354,-0.406954354,0.24720864675887,-0.466851156,2,0.200198252,0.072202648,0.409518912,0.098295337,0.072202648
apr-18,16,2,16,-0.773897873,0.09823182711199,-0.726403968,-0.726403968,0.17256025433052,-0.446885555,-4,-0.311784162,0.050870048,0.355611631,0.049371658,0.050870048
mag-18,26,3,26,-0.781601016,0.29440628066732,0.072220068,0.072220068,0.17205115256059,-0.406954354,10,0.88284147,0.072202648,-0.391762891,-0.072603473,0.072202648
giu-18,20,2,20,-0.790124944,0.19569471624266,-0.406954354,-0.406954354,0.22097483162126,-0.367023152,-6,-0.482444967,0.072202648,-0.696768325,-0.194388519,0.072202648
lug-18,13,1,13,-1.164604584,0.29296875000000,-0.965991179,-0.965991179,0.22032539350549,-0.506782358,-7,-0.567775369,-0.119790757,-0.877557104,-0.048709078,-0.119790757
ago-18,12,1,12,-0.964263542,0.38948393378772,-1.045853583,-1.045853583,0.29313842017443,-0.586644762,-1,-0.055792955,-0.055792955,-0.925148522,-0.024295016,-0.055792955
set-18,17,3,17,-0.822748492,-0.48496605237633,-0.646541564,-0.646541564,0.09829533691351,-0.76633517,5,0.456189459,-0.162455958,-0.935435391,0.097608659,-0.162455958
ott-18,19,2,19,0.091033592,0.00000000000000,-0.486816757,-0.486816757,0.04937165785285,-0.786300771,2,0.200198252,0.008204846,-0.715145757,0.170660854,0.008204846
nov-18,21,2,21,0.180103169,-0.19493177387913,-0.32709195,-0.32709195,-0.07260347311694,-0.626575964,2,0.200198252,0.200198252,-0.378968819,0.146222927,0.200198252
dic-18,19,3,19,-0.248035748,-0.09765625000001,-0.486816757,-0.486816757,-0.19438851906387,-0.486816757,-2,-0.141123358,0.178865651,-0.19991187,0.146080709,0.178865651
gen-19,22,2,22,-0.371146569,0.09775171065494,-0.247229546,-0.247229546,-0.04870907830605,-0.386988753,3,0.285528654,0.13620045,-0.087011389,0.072909977,0.13620045
feb-19,19,2,19,-0.395140738,0.09765624999999,-0.486816757,-0.486816757,-0.02429501580605,-0.386988753,-3,-0.22645376,0.029537447,-0.208554972,0.121265055,0.029537447
mar-19,15,2,15,-0.26360827,0.29268292682927,-0.806266372,-0.806266372,0.09760865937105,-0.506782358,-4,-0.311784162,-0.098458157,-0.319482831,-0.023662481,-0.098458157
apr-19,15,1,15,0.352611717,0.19455252918288,-0.806266372,-0.806266372,0.17066085416677,-0.586644762,0,0.029537447,-0.055792955,-0.169320965,-0.072229758,-0.055792955
mag-19,17,2,17,0.740774929,0.00000000000000,-0.646541564,-0.646541564,0.14622292650304,-0.686472766,2,0.200198252,-0.077125556,0.108659409,-0.120867891,-0.077125556
giu-19,17,1,17,0.348238309,0.09708737864077,-0.646541564,-0.646541564,0.14608070866323,-0.726403968,0,0.029537447,-0.013127754,0.294504171,-0.169128158,-0.013127754
lug-19,16,0,16,-0.822271528,0.00000000000000,-0.726403968,-0.726403968,0.07290997695591,-0.706438367,-1,-0.055792955,0.050870048,0.154838357,0.000118445,0.050870048
ago-19,11,1,11,-0.226380873,0.38797284190107,-1.125715986,-1.125715986,0.12126505513546,-0.786300771,-5,-0.397114565,-0.055792955,0.01009021,0.000118445,-0.055792955
set-19,15,1,15,0.112133119,-0.57971014492753,-0.806266372,-0.806266372,-0.02366248109642,-0.826231973,4,0.370859056,-0.013127754,-0.147070243,0.073075643,-0.013127754
ott-19,17,2,17,1.120631851,-0.09718172983480,-0.646541564,-0.646541564,-0.07222975821531,-0.826231973,2,0.200198252,0.029537447,0.046028142,0.048638132,0.029537447
nov-19,16,1,16,1.580104593,-0.19455252918288,-0.726403968,-0.726403968,-0.12086789051104,-0.826231973,-1,-0.055792955,0.029537447,0.646622172,-0.024224623,0.029537447
dic-19,17,1,17,0.238104751,0.19493177387915,-0.646541564,-0.646541564,-0.16912815751652,-0.706438367,1,0.114867849,0.15753305,0.762743578,0.024389875,0.15753305
gen-20,20,2,20,-0.108355665,0.09727626459145,-0.406954354,-0.406954354,0.00011844486323,-0.606610363,3,0.285528654,0.13620045,0.707621382,-0.048520056,0.13620045
feb-20,16,3,16,0.675010666,-0.09718172983480,-0.726403968,-0.726403968,0.00011844486323,-0.626575964,-4,-0.311784162,0.008204846,0.596216086,0.000212749,0.008204846
mar-20,26,4,26,1.565452083,0.09727626459145,0.072220068,0.072220068,0.07307564330681,-0.426919954,10,0.88284147,0.242863453,0.592552959,-0.121146474,0.242863453
apr-20,30,4,30,0.569672817,0.09718172983479,0.391669683,0.391669683,0.04863813229572,-0.167367143,4,0.370859056,0.306861255,0.675444975,-0.096589685,0.306861255
mag-20,33,5,33,2.489156891,-0.19417475728156,0.631256894,0.631256894,-0.02422462317253,0.092185669,3,0.285528654,0.306861255,1.324823114,-0.072389064,0.306861255
giu-20,21,3,21,2.127716332,0.09727626459145,-0.32709195,-0.32709195,0.02438987543403,0.192013674,-12,-0.994427381,0.13620045,1.687999531,-0.096589176,0.13620045
lug-20,12,1,12,-0.371264394,-0.19436345966959,-1.045853583,-1.045853583,-0.04852005563123,-0.087504739,-9,-0.738436174,-0.269118961,1.203820411,0.243879039,-0.269118961
ago-20,13,3,13,-0.509108627,0.29211295034080,-0.965991179,-0.965991179,0.00021274949528,-0.426919954,1,0.114867849,-0.333116763,0.93412505,0.219204539,-0.333116763
set-20,16,2,16,-1.995540506,-0.67961165048544,-0.726403968,-0.726403968,-0.12114647380570,-0.76633517,3,0.285528654,-0.333116763,-0.187049299,0.316128632,-0.333116763
ott-20,11,2,11,-0.367601967,0.19550342130988,-1.125715986,-1.125715986,-0.09658968462609,-0.965991179,-5,-0.397114565,-0.183788559,-0.810878874,0.267300507,-0.183788559
nov-20,16,3,16,0.607850821,-0.09756097560975,-0.726403968,-0.726403968,-0.07238906361113,-0.886128775,5,0.456189459,0.114867849,-0.56610007,0.128980273,0.114867849
dic-20,15,2,15,-1.003985508,0.19531249999999,-0.806266372,-0.806266372,-0.09658917619633,-0.846197574,-1,-0.055792955,0.072202648,-0.68981929,,0.072202648
gen-21,24,4,24,-0.003248406,0.68226120857700,-0.087504739,-0.087504739,0.24387903856928,-0.686472766,9,0.797511068,0.200198252,-0.191746265,,0.200198252
feb-21,27,3,27,-0.96000677,0.09680542110359,0.152082472,0.152082472,0.21920453851771,-0.367023152,3,0.285528654,0.370859056,-0.339847466,,0.370859056
mar-21,31,2,31,-1.135974424,0.29013539651837,0.471532087,0.471532087,0.31612863154974,-0.067539138,4,0.370859056,0.349526456,-0.775803777,,0.349526456
apr-21,25,3,25,0.707106781,0,-0.007642335,-0.007642335,0.26730050654974,0.132116871,-6,-0.482444967,0.242863453,-0.348030705,,0.242863453
mag-21,28,2,28,-0.348030705,,0.231944876,0.231944876,0.12898027254065,0.211979275,3,0.285528654,0.114867849,-0.434226279,,0.114867849
